Generation,MaxFitness,AvgFitness,Diversity,TotalEnergy_J,AvgDelay_Hops,MinResidual_J
163,0.8721995648793488,0.8718840237837832,0.3018316498316499,0.020688774003633337,1.6908333333333332,1.997259357216934
164,0.8721995648793488,0.8718873785735403,0.30532659932659933,0.020688774003633337,1.6908333333333332,1.997259357216934
165,0.8721995648793488,0.8718785753309632,0.29464646464646466,0.020688774003633337,1.6908333333333332,1.997259357216934
166,0.8721995648793488,0.8718722887690592,0.31389225589225583,0.020688774003633337,1.6908333333333332,1.997259357216934
167,0.8721995648793488,0.8718578087324816,0.30975757575757573,0.020688774003633337,1.6908333333333332,1.997259357216934
168,0.8721995648793488,0.8718782672700572,0.31183164983164985,0.020688774003633337,1.6908333333333332,1.997259357216934
169,0.8721995648793488,0.8718652391325704,0.29865319865319867,0.020688774003633337,1.6908333333333332,1.997259357216934
170,0.8721995648793488,0.8719140193562109,0.2888013468013469,0.020688774003633337,1.6908333333333332,1.997259357216934
171,0.8721995648793488,0.8718831501039307,0.2998518518518518,0.020688774003633337,1.6908333333333332,1.997259357216934
172,0.8721995648793488,0.8718748710975138,0.32129966329966336,0.020688774003633337,1.6908333333333332,1.997259357216934
173,0.8721995648793488,0.8718721726381502,0.3006936026936027,0.020688774003633337,1.6908333333333332,1.997259357216934
174,0.8721995648793488,0.8718991703596952,0.2946666666666667,0.020688774003633337,1.6908333333333332,1.997259357216934
175,0.8721995648793488,0.8718826751223488,0.32587205387205387,0.020688774003633337,1.6908333333333332,1.997259357216934
176,0.8721995648793488,0.8718711346668268,0.328956228956229,0.020688774003633337,1.6908333333333332,1.997259357216934
177,0.8721995648793488,0.8718599107175236,0.31655218855218853,0.020688774003633337,1.6908333333333332,1.997259357216934
178,0.8721995648793488,0.8718661631484453,0.3216430976430977,0.020688774003633337,1.6908333333333332,1.997259357216934
179,0.8721995648793488,0.8718839970398143,0.3285723905723906,0.020688774003633337,1.6908333333333332,1.997259357216934
180,0.8721995648793488,0.8718827254187047,0.31255218855218847,0.020688774003633337,1.6908333333333332,1.997259357216934
181,0.8721995648793488,0.87188782187568,0.3171986531986532,0.020688774003633337,1.6908333333333332,1.997259357216934
182,0.8721995648793488,0.8718746430482788,0.3191784511784512,0.020688774003633337,1.6908333333333332,1.997259357216934
183,0.8721995648793488,0.8718375016947636,0.3225656565656566,0.020688774003633337,1.6908333333333332,1.997259357216934
184,0.8721995648793488,0.8718940106201792,0.30140740740740746,0.020688774003633337,1.6908333333333332,1.997259357216934
185,0.8721995648793488,0.8719316307523001,0.2812659932659933,0.020688774003633337,1.6908333333333332,1.997259357216934
186,0.8721995648793488,0.871863552436311,0.3031717171717172,0.020688774003633337,1.6908333333333332,1.997259357216934
187,0.8721995648793488,0.8718876534805994,0.3130639730639731,0.020688774003633337,1.6908333333333332,1.997259357216934
188,0.8721995648793488,0.8719039556474086,0.31184511784511787,0.020688774003633337,1.6908333333333332,1.997259357216934
189,0.8721995648793488,0.8718589368875709,0.3211447811447811,0.020688774003633337,1.6908333333333332,1.997259357216934
190,0.8721995648793488,0.8718672882551979,0.3303434343434344,0.020688774003633337,1.6908333333333332,1.997259357216934
191,0.8721995648793488,0.8718608065780127,0.3151043771043771,0.020688774003633337,1.6908333333333332,1.997259357216934
192,0.8721995648793488,0.8718773570634748,0.32305050505050503,0.020688774003633337,1.6908333333333332,1.997259357216934
193,0.8721995648793488,0.8718739874844788,0.32115824915824925,0.020688774003633337,1.6908333333333332,1.997259357216934
194,0.8721995648793488,0.8718778896999251,0.31919865319865326,0.020688774003633337,1.6908333333333332,1.997259357216934
195,0.8721995648793488,0.8718872237292993,0.30800673400673406,0.020688774003633337,1.6908333333333332,1.997259357216934
196,0.8721995648793488,0.8718507688594829,0.32836363636363625,0.020688774003633337,1.6908333333333332,1.997259357216934
197,0.8721995648793488,0.8719113648592248,0.3053265993265993,0.020688774003633337,1.6908333333333332,1.997259357216934
198,0.8721995648793488,0.8718602379098054,0.3343164983164984,0.020688774003633337,1.6908333333333332,1.997259357216934
199,0.8721995648793488,0.871864591165141,0.29984511784511786,0.020688774003633337,1.6908333333333332,1.997259357216934
200,0.8721995648793488,0.8718870318732457,0.33644444444444443,0.020688774003633337,1.6908333333333332,1.997259357216934
201,0.8721995648793488,0.8718917257993439,0.29863973063973065,0.020688774003633337,1.6908333333333332,1.997259357216934
202,0.8721995648793488,0.871851095261736,0.3053737373737374,0.020688774003633337,1.6908333333333332,1.997259357216934
